msg_id,first_node_process_time,last_node_process_time
2 86,0.007921934127807617, 0.00906825065612793
1 72,0.0032198429107666016, 0.004106283187866211
1 73,0.006912708282470703, 0.008871316909790039
1 74,0.0049571990966796875, 0.006149768829345703
1 75,0.00846099853515625, 0.010666131973266602
2 87,0.006694316864013672, 0.008341073989868164
2 88,0.006986379623413086, 0.009286165237426758
2 89,0.00813436508178711, 0.009571313858032227
1 76,0.00780487060546875, 0.008857488632202148
2 90,0.004824161529541016, 0.0058286190032958984
1 77,0.006902456283569336, 0.008907794952392578
1 78,0.007284402847290039, 0.009072303771972656
1 79,0.007226228713989258, 0.009816408157348633
2 91,0.005279064178466797, 0.006269931793212891
1 80,0.004259586334228516, 0.005584001541137695
1 81,0.006302833557128906, 0.008064985275268555
2 92,0.008634090423583984, 0.010329008102416992
2 93,0.007336616516113281, 0.009157657623291016
2 94,0.007848024368286133, 0.010717391967773438
1 82,0.006884574890136719, 0.009366273880004883
1 83,0.007284879684448242, 0.009003877639770508
1 84,0.007371187210083008, 0.009171247482299805
2 95,0.003082752227783203, 0.0036907196044921875
2 96,0.007876157760620117, 0.009996652603149414
1 85,0.006376981735229492, 0.008752107620239258
1 86,0.006941556930541992, 0.009142637252807617
1 87,0.003177642822265625, 0.004012346267700195
2 97,0.0068454742431640625, 0.008975982666015625
1 88,0.0021004676818847656, 0.002529621124267578
2 98,0.006761074066162109, 0.008433103561401367
2 99,0.0019757747650146484, 0.002432584762573242
2 100,0.0024099349975585938, 0.002902984619140625
2 101,0.001802682876586914, 0.002273082733154297
1 89,0.008773088455200195, 0.009874105453491211
2 102,0.006995439529418945, 0.008616447448730469
1 90,0.0019562244415283203, 0.002716541290283203
1 91,0.007501125335693359, 0.008723735809326172
1 92,0.008581399917602539, 0.011158227920532227
2 103,0.008386611938476562, 0.010078668594360352
1 93,0.007924318313598633, 0.0102386474609375
1 94,0.0011992454528808594, 0.001554250717163086
1 95,0.0013060569763183594, 0.0014400482177734375
1 96,0.001611948013305664, 0.002058267593383789
2 104,0.002939462661743164, 0.0035212039947509766
2 105,0.0017311573028564453, 0.0022399425506591797
2 106,0.004692792892456055, 0.0059092044830322266
2 107,0.0021262168884277344, 0.002611398696899414
2 108,0.00881052017211914, 0.011052131652832031
1 97,0.004721164703369141, 0.006763935089111328
